capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,carga_financiera,ratio_cuota_ingreso,saldo_mora_ratio,total_creditos_sector,mes_prestamo,tipo_laboral,tipo_credito,tendencia_ingresos,tiene_codeudor_en_mora
1787880.0,12,55,10000000.0,4000000,124158,860.0,9,4,0.0,1116787.0,45483.0,0.0,6,0,2,1968483.0,0.399999960000004,0.012415798758420124,0.0,8,1,Independiente,4,Estable,0
3216000.0,6,54,8224000.0,2145000,493083,769.0,4,3,0.0,134165.0,134165.0,0.0,2,0,0,1000000.0,0.26082195272106606,0.05995658317648551,0.0,2,12,Independiente,4,Estable,0
2052000.0,6,28,3000000.0,1300000,304970,732.0,4,3,0.0,6744.0,6744.0,0.0,0,2,2,1524887.0,0.433333188888937,0.1016566327811224,0.0,4,3,Independiente,4,Creciente,0
821208.0,2,24,5000000.0,2000000,324034,723.0,10,6,0.0,38707.0,38707.0,0.0,7,0,2,908526.0,0.399999920000016,0.0648067870386426,0.0,9,5,Independiente,9,Estable,0
2778360.0,8,30,2000000.0,400000,315399,713.0,3,3,0.0,12582.0,12582.0,0.0,2,0,0,1278046.0,0.19999990000005,0.15769942115028943,0.0,2,3,Empleado,4,Creciente,0
1736228.4,11,30,1000000.0,500000,135315,792.0,0,1,0.0,0.0,,,0,0,0,917673.0,0.4999995000005,0.13531486468513532,0.0,0,3,Empleado,9,Creciente,0
2539500.0,24,24,1345700.0,400000,110591,747.0,4,4,0.0,19300.0,19300.0,0.0,3,1,0,1624635.0,0.2972428496374752,0.08218095996064505,0.0,4,12,Empleado,4,Creciente,0
1800000.0,6,59,2000000.0,1000000,267156,871.0,9,3,0.0,68452.0,59630.0,0.0,3,2,2,1453515.0,0.499999750000125,0.1335779332110334,0.0,7,12,Empleado,4,Estable,0
3230280.0,24,27,1500000.0,800000,143161,837.0,4,1,0.0,253.0,253.0,0.0,4,0,0,937300.0,0.5333329777780148,0.09544060303959798,0.0,4,5,Empleado,4,Decreciente,0
1088160.0,6,64,5000000.0,2100000,151133,883.0,4,2,0.0,28.0,28.0,0.0,4,0,0,,0.4199999160000168,0.03022659395468121,0.0,4,1,Empleado,4,,0
1458000.0,10,40,1500000.0,500000,137465,756.0,8,10,0.0,13068.0,13068.0,0.0,3,0,4,,0.33333311111125924,0.09164327223781851,0.0,7,7,Empleado,4,,0
2503498.8,12,61,3310000.0,65000,200949,838.0,7,2,0.0,0.0,0.0,0.0,4,0,1,969508.0,0.019637456302883292,0.060709649332432225,0.0,5,8,Empleado,4,Creciente,0
2048280.0,24,33,2400000.0,500000,89939,816.0,2,2,0.0,77947.0,77947.0,0.0,2,0,0,2072140.0,0.20833324652781396,0.03747456771893012,0.0,2,3,Empleado,4,Creciente,0
6830221.2,36,42,4170000.0,824000,234207,840.0,9,4,0.0,60913.0,60913.0,0.0,4,0,2,5600711.0,0.19760187107868799,0.056164734732677524,0.0,6,9,Empleado,4,Decreciente,0
3480661.2,10,49,10210000.0,2058000,297076,809.0,11,6,0.0,88080.0,88080.0,0.0,6,1,1,,0.2015670713450469,0.029096569138435932,0.0,8,8,Empleado,9,,0
3574999.2,10,50,12000000.0,10000000,329528,810.0,7,3,0.0,34263.0,34263.0,0.0,6,0,1,916148.0,0.8333332638888947,0.027460664378277967,0.0,7,1,Independiente,4,Creciente,0
538800.0,12,40,1250000.0,600000,42383,706.0,5,3,0.0,8834.0,3360.0,0.0,1,2,1,1166479.0,0.4799996160003072,0.0339063728749017,0.0,4,3,Empleado,4,Creciente,0
821208.0,2,61,5000000.0,2000000,323939,777.0,9,9,0.0,23898.0,23898.0,0.0,6,0,2,976666.0,0.399999920000016,0.06478778704244259,0.0,8,5,Independiente,9,Creciente,0
1128000.0,6,56,3000000.0,1000000,168108,801.0,4,3,0.0,27874.0,27874.0,0.0,0,2,1,,0.33333322222225925,0.05603598132133956,0.0,3,5,Empleado,4,,0
5397720.0,6,35,7000000.0,1000000,802485,788.0,2,2,0.0,30043.0,734.0,0.0,0,0,2,4966666.0,0.14285712244898252,0.11464069790847173,0.0,2,4,Empleado,4,Creciente,0
2245200.0,12,60,2000000.0,700000,176378,751.0,8,2,0.0,4896.0,4896.0,0.0,2,1,4,931394.0,0.34999982500008747,0.08818895590552205,0.0,7,3,Empleado,4,Creciente,0
3525600.0,12,63,8000000.0,2500000,277331,867.0,6,3,0.0,57069.0,57069.0,0.0,3,0,1,,0.3124999609375049,0.034666370666703666,0.0,4,2,Empleado,4,,0
3394948.8,9,43,4872000.0,1424000,331642,856.0,5,3,0.0,80637.0,80637.0,0.0,4,0,1,3568025.0,0.29228237022118836,0.0680710040905164,0.0,5,2,Empleado,9,Creciente,0
1143600.0,12,41,1550000.0,600000,89618,771.0,3,3,0.0,1006.0,1006.0,0.0,0,0,2,,0.3870965244538552,0.05781802721417599,0.0,2,12,Independiente,4,,0
631560.0,6,57,1800000.0,400000,93736,749.0,11,3,0.0,6639.0,6639.0,0.0,1,0,10,,0.2222220987655007,0.05207552662470743,0.0,11,1,Independiente,10,,0
754724.4,6,27,1300000.0,500000,113452,774.0,6,6,0.0,14255.0,14255.0,0.0,4,0,1,1200514.0,0.384615088757624,0.08727070209945992,0.0,5,6,Empleado,4,Creciente,0
2528100.0,36,38,1650000.0,600000,81727,714.0,7,4,0.0,8165.0,8165.0,0.0,3,0,2,1173694.0,0.3636361432508223,0.04953148513243325,0.0,5,2,Empleado,4,Creciente,0
3895920.0,8,54,5000000.0,1000000,441285,794.0,7,0,0.0,29686.0,24200.0,0.0,0,3,1,828685.0,0.199999960000008,0.08825698234860353,0.0,4,1,Empleado,4,Decreciente,0
511200.0,6,46,2300000.0,350000,76031,698.0,4,9,0.0,1367.0,1367.0,0.0,0,0,4,994444.0,0.15217384688093613,0.03305694214915559,0.0,4,6,Empleado,4,Creciente,0
667800.0,8,34,1700000.0,400000,69589,769.0,7,3,0.0,24999.0,24999.0,0.0,6,0,0,1513470.0,0.23529397923883574,0.04093468180312835,0.0,6,3,Empleado,9,Creciente,0
7096558.8,12,38,3866000.0,1200000,492817,748.0,4,3,0.0,10730.0,10730.0,0.0,2,0,0,1580624.0,0.3103982642529063,0.12747461782860378,0.0,2,1,Independiente,4,Decreciente,0
1479421.2,12,62,4200000.0,1500000,102738,900.0,14,1,0.0,41222.0,41222.0,0.0,11,0,0,1000000.0,0.3571427721088638,0.024461422747280297,0.0,11,1,Empleado,4,Estable,0
2749080.0,12,40,7000000.0,2500000,215711,814.0,7,6,0.0,16333.0,16333.0,0.0,4,0,0,4701333.0,0.35714280612245625,0.030815852740592467,0.0,4,12,Empleado,4,Creciente,0
3488659.2,6,52,3000000.0,0,518663,709.0,3,9,0.0,24378.0,24378.0,0.0,2,0,1,970172.0,0.0,0.17288760903746364,0.0,3,5,Independiente,4,Creciente,0
1519761.6,9,54,3000000.0,800000,142137,795.0,9,2,0.0,136018.0,26546.0,0.0,3,2,2,3345537.0,0.2666665777778074,0.047378984207005266,0.0,7,3,Empleado,9,Creciente,0
2022000.0,10,55,1200000.0,600000,187095,763.0,3,4,0.0,13606.0,13606.0,0.0,1,0,1,923771.0,0.49999958333368055,0.15591237007302494,0.0,2,2,Empleado,4,Creciente,0
1200000.0,8,63,3800000.0,1500000,138340,853.0,5,6,0.0,16741.0,16741.0,0.0,4,0,0,908526.0,0.39473673822717414,0.03640525357756485,0.0,4,6,Independiente,4,Creciente,0
1380000.0,12,55,3000000.0,600000,109090,844.0,4,2,0.0,37066.0,13819.0,0.0,2,0,2,2183681.0,0.19999993333335556,0.03636332121222626,0.0,4,3,Empleado,4,Decreciente,0
1717200.0,12,43,2600000.0,1000000,134320,770.0,3,2,0.0,41844.0,41844.0,0.0,2,0,0,916148.0,0.3846152366864474,0.05166151859172362,0.0,2,2,Independiente,4,Creciente,0
972000.0,10,54,3000000.0,412000,91108,780.0,14,4,0.0,26371.0,16049.0,0.0,4,0,1,,0.1373332875555708,0.030369323210225597,0.0,5,5,Independiente,4,,0
2778000.0,6,48,2200000.0,350000,411894,774.0,3,2,0.0,7829.0,7829.0,0.0,2,0,0,908526.0,0.15909083677689237,0.18722446035251802,0.0,2,1,Empleado,4,Estable,0
1097136.0,12,36,2300000.0,600000,86445,732.0,7,3,0.0,11306.0,11306.0,0.0,3,0,2,1008015.0,0.26086945179589055,0.03758476626749293,0.0,5,2,Empleado,4,Creciente,0
2014699.2,10,55,1400000.0,600000,186892,800.0,1,2,0.0,1409.0,1409.0,0.0,0,0,1,,0.42857112244919826,0.1334941903612926,0.0,1,2,Independiente,4,,0
940800.0,6,36,3090000.0,2961000,143297,812.0,5,4,0.0,47680.0,47680.0,0.0,0,2,1,3641173.0,0.9582521170705123,0.046374418649055456,0.0,3,11,Empleado,4,Creciente,0
1047398.4,10,27,1500000.0,600000,88975,692.0,0,2,0.0,0.0,,,0,0,0,1848597.0,0.39999973333351113,0.05931662712224858,0.0,0,4,Empleado,9,Creciente,0
3503880.0,18,32,5000000.0,400000,193586,732.0,1,3,0.0,541.0,541.0,0.0,1,0,0,946543.0,0.0799999840000032,0.03871719225656155,0.0,1,12,Empleado,4,Creciente,0
1676880.0,10,65,3300000.0,1200000,142001,843.0,11,0,0.0,7198.0,7198.0,,2,0,7,,0.36363625344355954,0.04303059302103242,0.0,9,12,Independiente,9,,0
3326400.0,6,35,2182000.0,951000,495740,738.0,9,3,0.0,34981.0,34981.0,0.0,5,0,2,2068863.0,0.4358384803673326,0.22719512960809826,0.0,7,3,Empleado,4,Creciente,0
3342360.0,12,46,3000000.0,1000000,263025,782.0,9,2,0.0,13567.0,13567.0,0.0,8,0,0,,0.33333322222225925,0.08767497077500974,0.0,8,1,Empleado,4,,0
7746000.0,24,42,7000000.0,0,268958,756.0,7,15,0.0,32953.0,31753.0,0.0,1,0,1,,0.0,0.03842256593963344,0.0,2,6,Independiente,4,,0
953760.0,6,29,2600000.0,600000,142364,738.0,7,6,0.0,40321.0,1425.0,0.0,2,0,2,3100551.0,0.23076914201186846,0.054755363555629405,0.0,4,6,Empleado,4,Creciente,0
6816000.0,6,37,25000000.0,1000000,1015802,804.0,13,3,0.0,49743.0,49743.0,0.0,8,1,2,908526.0,0.03999999840000006,0.040632078374716864,0.0,11,5,Independiente,4,Creciente,0
935880.0,6,30,1409000.0,160000,140867,764.0,2,2,0.0,250.0,250.0,0.0,0,0,2,1409000.0,0.11355563267875608,0.09997650817848958,0.0,2,7,Empleado,4,Estable,0
2640000.0,36,35,2000000.0,600000,84932,832.0,5,3,0.0,63052.0,50252.0,0.0,1,3,1,1784487.0,0.299999850000075,0.042465978767010616,0.0,5,12,Empleado,4,Creciente,0
1080000.0,6,62,1800000.0,300000,162736,786.0,2,3,0.0,3808.0,3808.0,0.0,0,1,0,,0.16666657407412552,0.0904088386617563,0.0,1,7,Independiente,4,,0
1412280.0,12,36,1100000.0,350000,111093,776.0,8,3,0.0,4597.0,4597.0,0.0,4,0,2,902469.0,0.3181815289258828,0.10099354455132313,0.0,6,2,Empleado,4,Creciente,0
3343500.0,12,55,1200000.0,500000,262335,817.0,2,1,0.0,1647.0,1647.0,0.0,1,0,1,,0.4166663194447338,0.21861231782306847,0.0,2,2,Independiente,4,,0
1092405.6,10,37,4500000.0,1500000,92750,823.0,6,2,0.0,12762.0,12762.0,0.0,4,0,0,4110865.0,0.3333332592592757,0.020611106530865217,0.0,4,3,Empleado,9,Creciente,0
581280.0,6,49,3500000.0,2000000,86414,791.0,11,7,0.0,108090.0,108090.0,0.0,5,0,5,3794030.0,0.571428408163312,0.02468970723151222,0.0,10,5,Empleado,4,Creciente,0
1121880.0,10,54,1400000.0,400000,103961,807.0,2,2,0.0,5447.0,5447.0,0.0,2,0,0,933473.0,0.2857140816327988,0.0742578041015685,0.0,2,4,Empleado,4,Creciente,0
2227200.0,6,50,8000000.0,3000000,332463,790.0,1,5,0.0,1241.0,1241.0,0.0,1,0,0,1453024.0,0.37499995312500584,0.041557869805266275,0.0,1,7,Independiente,4,Decreciente,0
1234680.0,12,29,2456000.0,500000,97162,716.0,10,6,0.0,77884.0,77884.0,0.0,2,1,5,2653996.0,0.20358297899715838,0.039561058810643805,0.0,8,4,Empleado,4,Creciente,0
1921920.0,6,55,1800000.0,350000,285458,823.0,15,4,0.0,115644.0,36142.0,0.0,3,5,5,,0.1944443364198131,0.15858768967350573,0.0,13,4,Independiente,4,,0
2670513.6,9,40,4500000.0,1800000,250000,776.0,3,13,0.0,2112.0,2112.0,0.0,0,0,1,,0.39999991111113087,0.055555543209879286,0.0,1,4,Independiente,9,,0
1787880.0,12,31,2900000.0,1000000,124158,770.0,7,3,0.0,23416.0,23416.0,0.0,4,0,1,1303731.0,0.3448274673008733,0.04281308868514183,0.0,5,1,Independiente,4,Creciente,0
2608800.0,6,30,3500000.0,1200000,386545,818.0,6,6,0.0,150791.0,150791.0,0.0,5,0,0,2000000.0,0.3428570448979872,0.11044139701674371,0.0,5,1,Independiente,4,Creciente,0
1790350.8,10,56,3000000.0,1800000,151849,733.0,5,1,0.0,49285.0,49285.0,,1,0,4,,0.5999998000000667,0.05061631646122785,0.0,5,1,Independiente,9,,0
2803080.0,12,28,2500000.0,450000,219948,761.0,4,2,0.0,379.0,379.0,0.0,1,0,1,2005555.0,0.1799999280000288,0.08797916480833408,0.0,2,12,Empleado,4,Estable,0
2976000.0,18,51,4000000.0,1000000,164550,835.0,3,0,0.0,1443.0,1443.0,0.0,0,0,3,,0.24999993750001562,0.04113748971562757,0.0,3,12,Empleado,4,,0
919010.4,6,26,1200000.0,235000,138342,789.0,2,1,0.0,14507.0,14507.0,0.0,0,0,1,1474563.0,0.19583317013902488,0.11528490392924673,0.0,1,8,Independiente,4,Creciente,0
555121.2,6,47,2890000.0,1099000,83844,785.0,6,6,0.0,28312.0,28312.0,0.0,4,0,1,1082636.0,0.3802766850253685,0.029011754667212918,0.0,5,9,Empleado,4,Creciente,0
1419600.0,6,41,5460000.0,3254000,215505,762.0,7,7,0.0,161933.0,161933.0,0.0,3,0,2,4040223.0,0.5959705868185738,0.03946977299088407,0.0,5,9,Independiente,4,Creciente,0
1200000.0,12,33,2000000.0,1000000,97192,727.0,3,4,0.0,359.0,359.0,0.0,1,0,2,,0.499999750000125,0.04859597570201215,0.0,3,10,Independiente,4,,0
834000.0,12,24,2500000.0,700000,65712,740.0,1,8,0.0,56.0,56.0,0.0,0,0,1,1407037.0,0.2799998880000448,0.026284789486084207,0.0,1,1,Empleado,4,Creciente,0
2966760.0,9,66,5390000.0,0,287106,875.0,4,2,0.0,1919.0,0.0,0.0,1,1,1,2334028.0,0.0,0.053266409412539996,0.0,3,12,Empleado,9,Creciente,0
744600.0,6,45,2000000.0,419000,112463,765.0,4,5,0.0,7760.0,7760.0,0.0,2,0,2,969508.0,0.2094998952500524,0.056231471884264056,0.0,4,9,Empleado,4,Creciente,0
2076000.0,6,49,20000000.0,5000000,308537,786.0,20,4,0.0,554106.0,554106.0,0.0,11,1,2,2141333.0,0.24999998750000063,0.015426849228657539,0.0,14,3,Independiente,4,Creciente,0
1918309.2,10,30,2000000.0,1000000,162702,718.0,31,2,0.0,78969.0,66485.0,0.0,16,1,6,,0.499999750000125,0.08135095932452034,0.0,23,12,Empleado,9,,0
3682320.0,24,40,6000000.0,1000000,160977,764.0,13,9,0.0,59834.0,59834.0,0.0,4,1,3,5119068.0,0.16666663888889352,0.026829495528417412,0.0,8,2,Empleado,4,Creciente,0
3120600.0,12,63,4000000.0,1000000,245168,780.0,11,2,0.0,60767.0,60767.0,0.0,9,0,2,,0.24999993750001562,0.06129198467700383,0.0,11,3,Independiente,4,,0
2135917.2,6,49,1800000.0,600000,317025,809.0,0,3,0.0,0.0,,,0,0,0,1200000.0,0.33333314814825105,0.17612490215283214,0.0,0,12,Empleado,4,Estable,0
1163880.0,6,42,3500000.0,600000,172986,833.0,6,2,0.0,39341.0,39341.0,0.0,2,0,1,3117480.0,0.1714285224489936,0.04942455730726934,0.0,3,3,Empleado,4,Creciente,0
2699401.2,6,42,6500000.0,2200000,401208,807.0,3,12,0.0,0.0,0.0,0.0,1,0,0,,0.3384614863905406,0.061724298196261816,0.0,1,3,Independiente,4,,0
3293760.0,24,54,2686000.0,1000000,144322,863.0,7,5,0.0,2682.0,2682.0,0.0,1,0,4,3358504.0,0.37230068045395365,0.0537311788044755,0.0,5,2,Empleado,4,Decreciente,0
8993464.799999999,9,36,45800000.0,28500000,842728,797.0,9,8,0.0,341966.0,341966.0,0.0,7,0,0,2906191.0,0.6222707287713815,0.01840017427073855,0.0,7,6,Empleado,9,Creciente,0
1560000.0,12,58,1014000.0,500000,122255,771.0,4,2,0.0,15060.0,15060.0,0.0,2,0,1,908526.0,0.49309616065467393,0.12056694224167432,0.0,3,11,Empleado,4,Estable,0
950182.8,11,25,2652000.0,1303000,81598,632.0,8,4,0.0,19623.0,19623.0,0.0,2,1,4,880000.0,0.491327114884195,0.030768465019432496,0.0,7,9,Empleado,9,Creciente,0
2198160.0,24,63,2760000.0,1113000,104148,753.0,7,2,0.0,12744.0,12744.0,0.0,1,1,5,984754.0,0.40326072345625963,0.037734768936677925,0.0,7,10,Empleado,4,Creciente,0
2340000.0,24,24,2500000.0,500000,103705,776.0,2,6,0.0,5784.0,5784.0,0.0,2,0,0,1080608.0,0.199999920000032,0.041481983407206637,0.0,2,3,Empleado,4,Creciente,0
1311600.0,10,56,3800000.0,1800000,123650,778.0,7,2,0.0,28851.0,28851.0,0.0,3,2,1,950105.0,0.47368408587260896,0.03253946512119339,0.0,6,6,Independiente,4,Creciente,0
2400000.0,6,40,3630000.0,756000,369213,822.0,4,3,0.0,14495.0,14495.0,0.0,1,1,1,1000000.0,0.2082644054368029,0.10171154222822529,0.0,3,1,Independiente,4,Estable,0
1994040.0,10,29,3085000.0,407000,192643,760.0,5,3,0.0,16335.0,16335.0,0.0,3,0,0,4007798.0,0.13192864443155772,0.06244503648459109,0.0,3,12,Empleado,4,Decreciente,0
2244840.0,12,31,1600000.0,300000,176133,825.0,5,4,0.0,34097.0,34097.0,0.0,3,0,0,,0.18749988281257324,0.11008305619808988,0.0,3,12,Empleado,4,,0
1610400.0,6,35,3200000.0,6362000,242013,811.0,3,3,0.0,16277.0,16277.0,0.0,2,0,0,1269090.0,1.9881243787111316,0.07562903886592535,0.0,2,9,Independiente,4,Creciente,0
6683820.0,12,39,3400000.0,2200000,523776,749.0,11,1,0.0,115412.0,101836.0,0.0,6,0,2,3741651.0,0.647058633218049,0.15405171939655313,0.0,8,1,Empleado,4,Creciente,0
900662.4,10,42,4605000.0,2403000,79837,807.0,12,3,0.0,35052.0,35052.0,0.0,6,1,3,,0.5218239909177002,0.01733702120803014,0.0,10,1,Empleado,9,,0
902400.0,6,46,3200000.0,1200000,133799,705.0,4,2,0.0,1205.0,1205.0,0.0,1,0,2,908526.0,0.3749998828125366,0.04181217443369549,0.0,3,1,Empleado,4,Estable,0
1440000.0,12,32,3000000.0,1000000,113472,774.0,7,5,0.0,137790.0,137790.0,0.0,5,0,1,2393255.0,0.33333322222225925,0.0378239873920042,0.0,6,2,Independiente,4,,0
2627760.0,6,37,3500000.0,1500000,390672,812.0,5,4,0.0,34392.0,34392.0,0.0,2,1,1,6009614.0,0.42857130612248395,0.11162053953698871,0.0,4,5,Empleado,4,Decreciente,0
3108000.0,24,33,4000000.0,150000,135853,778.0,10,6,0.0,16068.0,16068.0,0.0,2,2,3,908526.0,0.037499990625002345,0.033963241509189626,0.0,7,1,Independiente,4,Estable,0
840000.0,6,63,1500000.0,100000,124535,819.0,1,1,0.0,416.0,416.0,0.0,1,0,0,,0.06666662222225185,0.08302327798448135,0.0,1,7,Independiente,4,,0
1835880.0,12,61,2656000.0,606000,153710,836.0,10,0,0.0,3215.0,3215.0,0.0,2,1,4,,0.22816256469782956,0.057872719174428024,0.0,7,1,Independiente,4,,0
2210280.0,6,63,2500000.0,600000,328287,868.0,1,0,0.0,0.0,0.0,0.0,1,0,0,,0.2399999040000384,0.13131474747410102,0.0,1,2,Independiente,4,,0
1451760.0,6,30,3500000.0,1000000,216698,757.0,4,3,0.0,72701.0,72701.0,0.0,1,1,0,3640085.0,0.285714204081656,0.061913696596086684,0.0,2,6,Empleado,4,Decreciente,0
2656285.2,11,48,4000000.0,1500000,206666,880.0,2,2,0.0,2761.0,2761.0,0.0,2,0,0,916583.0,0.37499990625002344,0.05166648708337823,0.0,2,2,Independiente,9,Creciente,0
2292000.0,6,31,3000000.0,1000000,340657,788.0,2,7,0.0,0.0,0.0,0.0,1,0,0,889831.0,0.33333322222225925,0.11355229548256818,0.0,1,3,Empleado,4,Creciente,0
639600.0,6,60,877803.0,1030000,96604,825.0,7,7,0.0,35746.0,24680.0,0.0,5,1,0,966736.0,1.173382668568382,0.11005190224697085,0.0,6,8,Independiente,4,Creciente,0
1264800.0,12,53,30285.0,723000,102439,766.0,10,16,0.0,43188.0,43188.0,0.0,3,1,6,30285.0,23.872416297959454,3.3823879020009247,0.0,10,8,Independiente,4,Estable,0
1190040.0,6,42,2100000.0,700000,177354,695.0,17,10,0.0,19085.0,18879.0,0.0,6,0,6,946916.0,0.3333331746032502,0.08445424549797834,0.0,12,5,Empleado,4,Creciente,0
1839747.6,9,33,5000000.0,2500000,174350,797.0,7,4,0.0,124804.0,124804.0,0.0,6,0,0,3836949.0,0.49999990000002,0.0348699930260014,0.0,6,7,Independiente,9,Creciente,0
2808000.0,6,65,2000000.0,400000,416780,806.0,4,4,0.0,574.0,574.0,0.0,1,0,3,,0.19999990000005,0.2083898958050521,0.0,4,12,Independiente,4,,0
1283088.0,18,38,5350000.0,2254000,74430,726.0,11,3,0.0,123463.0,123463.0,0.0,8,0,1,,0.42130833246573224,0.013912146932308985,0.0,9,10,Empleado,4,,0
3143880.0,12,40,1200000.0,400000,218325,743.0,9,2,0.0,6245.0,348.0,0.0,5,0,2,1136072.0,0.333333055555787,0.181937348385543,0.0,7,1,Empleado,4,Decreciente,0
3254400.0,6,47,3500000.0,400000,483037,808.0,6,3,0.0,9424.0,9424.0,0.0,3,0,1,454263.0,0.1142856816326624,0.13801053199699087,0.0,4,12,Empleado,4,Estable,0
3054720.0,6,54,4732000.0,523000,466525,842.0,3,3,0.0,913.0,913.0,0.0,2,0,1,,0.1105240679365875,0.09858937054324375,0.0,3,12,Independiente,4,,0
2241538.8,10,63,2400000.0,0,192821,914.0,2,2,0.0,229.0,229.0,0.0,1,0,0,1000000.0,0.0,0.08034204985747923,0.0,1,9,Independiente,9,Estable,0
13658400.0,12,43,10000000.0,500000,1074396,758.0,7,3,0.0,110174.0,81474.0,0.0,5,0,1,,0.0499999950000005,0.10743958925604108,0.0,6,2,Empleado,4,,0
1015233.6,7,63,4500000.0,1500000,119802,796.0,9,7,0.0,24883.0,24883.0,0.0,4,2,0,908526.0,0.3333332592592757,0.026622660750519833,0.0,6,3,Independiente,9,Estable,0
878880.0,5,64,5000000.0,2000000,142747,735.0,5,6,0.0,4358.0,4358.0,0.0,2,0,2,316667.0,0.399999920000016,0.02854939429012114,0.0,4,6,Empleado,9,Decreciente,0
2540280.0,12,27,1500000.0,400000,199314,724.0,12,10,0.0,9875.0,9875.0,0.0,3,0,5,1211904.0,0.2666664888890074,0.13287591141605906,0.0,8,12,Empleado,4,Creciente,0
5884080.0,12,45,4000000.0,1500000,408617,856.0,10,3,0.0,167117.0,26537.0,0.0,5,2,0,6383802.0,0.37499990625002344,0.10215422446144388,0.0,7,1,Empleado,4,Creciente,0
1773547.2,10,34,2500000.0,1000000,150582,857.0,3,2,0.0,54402.0,54402.0,0.0,3,0,0,2423604.0,0.399999840000064,0.060232775906889635,0.0,3,2,Empleado,9,Creciente,0
1654917.6,2,50,3000000.0,1500000,652809,866.0,2,2,0.0,52681.0,0.0,0.0,1,0,1,3690167.0,0.4999998333333889,0.21760292746569085,0.0,2,5,Independiente,9,Estable,0
1269000.0,2,50,5000000.0,2000000,500357,716.0,4,8,0.0,3947.0,3947.0,0.0,1,0,2,908526.0,0.399999920000016,0.100071379985724,0.0,3,2,Independiente,9,Estable,0
390663.6,6,50,1430000.0,72000,59405,771.0,3,1,0.0,324.0,324.0,0.0,1,0,2,992377.0,0.05034961514012927,0.041541928991658046,0.0,3,11,Empleado,4,Creciente,0
